Count ;Year;Start Month;Gender;Name;Country;Region;OFDA/BHA Response;AID Contribution ('000 US$);Magnitude (Kph);Total Deaths;No. Injured;No. Affected;No. Homeless;Total Affected;Reconstruction Costs ('000 US$);Reconstruction Costs, Adjusted ('000 US$);Insured Damage ('000 US$);Insured Damage, Adjusted ('000 US$);Total Damage ('000 US$);Total Damage, Adjusted ('000 US$)
1;1928;9;;San Felipe / Okeechobee ;Puerto Rico;Americas;No;;;300;;;;;;;;;50000;885897
2;1928;9;;Felipe;Guadeloupe;Americas;No;;;2000;;;;;;;;;;
3;1930;9;;San Zenon;Dominican Republic;Americas;No;;;2000;6000;6000;;12000;;;;;40000;729937
4;1932;9;;San Ciprian;Puerto Rico;Americas;No;;;225;;;;;;;;;30000;672240
5;1935;10;;Jeremie & Jacmel;Haiti;Americas;No;;;2150;;;;;;;;;;
6;1945;9;;Makurazaki;Japan;Asia;No;;;3746;;1340691;;1340691;;;;;400000;6772194
7;1945;10;;Akune;Japan;Asia;No;;;451;;540981;;540981;;;;;;
8;1947;9;Female;Catherine;Japan;Asia;No;;;1930;;;;;;;;;;
9;1948;9;;Lone;Japan;Asia;No;;;868;;414153;;414153;;;;;;
10;1949;6;Female;Della;Japan;Asia;No;;;419;;194046;;194046;;;;;;
11;1949;10;;Rena;Philippines;Asia;No;;;1000;;;;;;;;;;
12;1950;9;;Dog;Antigua and Barbuda;Americas;No;;;2;;;;;;;;;1000;12645
13;1950;9;Female;Jane;Japan;Asia;No;;;509;;642117;;642117;;;;;;
14;1951;4;Female;Iris;Philippines;Asia;No;;;156;;;;;;;;;;
15;1951;8;;Charlie;Jamaica;Americas;No;;;154;200;20000;;20200;;;;;56000;656382
16;1951;10;Female;Ruth;Japan;Asia;No;;;943;;;;;;;;;;
17;1951;11;Female;Wanda;Philippines;Asia;No;;;87;;;;;;;;;;
18;1951;12;Female;Amy;Philippines;Asia;No;;;569;;60000;;60000;;;;;;
19;1952;6;Female;Emma;Philippines;Asia;No;;;19;103;;;103;;;;;;
20;1952;10;Female;Trixy, Wilma;Philippines;Asia;No;;;995;349;;;349;;;;;50000;572836
21;1954;8;Female;Carol;United States of America;Americas;No;;;60;;;;;;;;;450000;5098027
22;1954;10;Female;Hazel;United States of America;Americas;No;;249;95;;;;;;;;;281000;3183435
23;1954;10;Female;Hazel;Haiti;Americas;No;;249;410;;250000;;250000;;;;;;
24;1954;12;Female;Alice;Netherlands Antilles;Americas;No;;;;;;;;;;;;;
25;1954;10;Female;Hazel;Canada;Americas;No;;249;83;;;;;;;;;100000;1132895
26;1955;1;Female;Alice;Saint Kitts and Nevis;Americas;No;;;;;;;;;;;;;
27;1955;8;Female;Diane;United States of America;Americas;No;;152;184;;;;;;;;;832000;9468227
28;1955;9;Female;Hilda;Mexico;Americas;No;;;300;;;;;;;;;;
29;1955;9;Female;Janet;Barbados;Americas;No;;;57;;;;;;;;;;
30;1955;9;Female;Janet;Saint Vincent and the Grenadines;Americas;No;;;122;;;;;;;;;;
31;1955;9;Female;Janet;Belize;Americas;No;;;16;;;;;;;;;5000;56900
32;1955;9;Female;Janet;Mexico;Americas;No;;;500;;;;;;;;;40000;455203
33;1955;1;Female;Alice;Anguilla;Americas;No;;;;;;;;;;;;;
34;1956;8;Female;Betsy;Guadeloupe;Americas;No;;;;;;;;;;;;;
35;1957;6;Female;Audrey;United States of America;Americas;No;;249;390;;;;;;;;;150000;1627005
36;1957;9;Female;Gloria;China, Hong Kong Special Administrative Region;Asia;No;;;8;111;;;111;;;;;;
37;1958;9;Female;Ida;Japan;Asia;No;;;1175;;;;;;;;;;
38;1959;1;Female;Beatrice;New Caledonia;Oceania;No;;;1;;;;;;;;;700;7317
39;1959;8;Female;"Typhoon ""Ellen""";Taiwan (Province of China);Asia;No;;;1046;;;;;;;;;50000;522644
40;1959;8;Female;Ellen;China;Asia;No;;;1064;;;;;;;;;;
41;1959;8;Female;Iris;China;Asia;No;;;720;;;;;;;;;;
42;1959;9;Female;Sarah;Republic of Korea;Asia;No;;;432;;;;;;;;;;
43;1959;9;Female;Vera;Japan;Asia;No;;;5098;;1500000;;1500000;;;;;600000;6271731
44;1959;10;;Beulah, Manzanillo;Mexico;Americas;No;;;960;;;;;;;;;20000;209058
45;1959;12;Female;Amanda;Vanuatu;Oceania;No;;;;;;;;;;;;;
46;1960;1;Female;Corine;Niue;Oceania;No;;;;;4000;;4000;;;;;41;422
47;1960;4;Female;Karen;Philippines;Asia;No;;;56;;;;;;;;;2000;20605
48;1960;5;Female;Lucille;Philippines;Asia;No;;;234;;;;;;;;;;
49;1960;6;Female;Olive;Philippines;Asia;No;;;100;;50000;;50000;;;;;;
50;1960;7;Female;Abby;Saint Lucia;Americas;No;;;;;;;;;;;;;
51;1960;7;Female;Abby;Martinique;Americas;No;;;;;;;;;;;;;
52;1960;9;Female;Donna;Antigua and Barbuda;Americas;No;;;2;;;;;;;;;;
53;1960;9;Female;Donna;Netherlands Antilles;Americas;No;;;;;;;;;;;;;
54;1960;9;Female;Donna;Anguilla;Americas;No;;;5;250;;1000;1250;;;;;35000;360594
55;1960;9;Female;Donna;United States of America;Americas;No;;;50;;;;;;;;;387000;3987136
56;1960;10;Female;Kit;Philippines;Asia;No;;;150;;375000;;375000;;;;;;
57;1960;10;Female;Lola;Philippines;Asia;No;;;58;;;;;;;;;30000;309080
58;1960;6;Female;Mary;China, Hong Kong Special Administrative Region;Asia;No;;;45;127;15000;;15127;;;;;;
59;1961;9;Female;Carla;United States of America;Americas;No;;249;46;;;;;;;;;408000;4158963
60;1961;10;Female;Hattie;Belize;Americas;No;;;275;;;;;;;;;60000;611612
61;1961;11;Female;Tara;Mexico;Americas;No;;;436;;;;;;;;;;
62;1961;9;Female;Olga;China, Hong Kong Special Administrative Region;Asia;No;;;7;;;1171;1171;;;;;;
63;1962;10;Female;Harriet;Thailand;Asia;No;;;769;;;;;;;;;19000;191383
64;1962;11;Female;Karen;Guam;Oceania;No;;;6;;;;;;;;;250000;2518195
65;1962;8;Female;Wanda;China, Hong Kong Special Administrative Region;Asia;No;;;183;;72000;;72000;;;;;;
66;1963;8;Female;Carmen;Philippines;Asia;No;;;1;;;2000;2000;;;;;;
67;1963;9;Female;Edith;Dominica;Americas;No;;;;;;;;;;;;2600;25869
68;1963;9;Female;Edith;Martinique;Americas;No;;;10;;;;;;;;;40000;397978
69;1963;9;Female;Edith;Saint Lucia;Americas;No;;;10;;;;;;;;;3465;34475
70;1963;9;Female;Flora;Grenada;Americas;No;;;6;;;;;;;;;;
71;1963;9;Female;Flora;Trinidad and Tobago;Americas;No;;;24;;;;;;;;;30000;298483
72;1963;10;Female;Flora;Dominican Republic;Americas;No;;;400;;;;;;;;;60000;596967
73;1963;10;Female;Flora;Haiti;Americas;No;;;5000;;;;;;;;;180000;1790900
74;1963;10;Female;Flora;Jamaica;Americas;No;;;11;;;;;;;;;11525;114667
75;1963;10;Female;Flora;Cuba;Americas;No;;;1750;;;;;;;;;500000;4974723
76;1963;10;Female;Flora;Bahamas;Americas;No;;;;;;;;;;;;1500;14924
77;1964;6;Female;Winnie (Dading);Philippines;Asia;Yes;;;56;163;924125;;924288;;;;;8000;78590
78;1964;8;Female;Cleo;Guadeloupe;Americas;Yes;;;14;100;10000;;10100;;;;;;
79;1964;8;Female;Cleo;Haiti;Americas;Yes;;;100;;80000;;80000;;;;;10000;98238
80;1964;8;Female;Cleo;Dominican Republic;Americas;Yes;;;7;;;;;;;;;1000;9824
81;1964;9;Female;Dora;United States of America;Americas;No;;;5;;;;;;;;;250000;2455952
82;1964;9;Female;Iris ;Viet Nam;Asia;Yes;;;7000;;700000;;700000;;;;;50000;491190
83;1964;11;Female;Louise;Philippines;Asia;Yes;;;580;1258;300000;;301258;;;;;35000;343833
84;1964;9;Female;Ruby;China, Hong Kong Special Administrative Region;Asia;No;;;44;300;;;300;;;;;;
85;1964;10;Female;Dot;China, Hong Kong Special Administrative Region;Asia;No;;;26;85;;;85;;;;;;
86;1964;9;Female;Ruby;China;Asia;No;;;686;;;;;;;;;;
87;1965;6;Female;Dinah;Japan;Asia;No;;;61;;30000;;30000;;;;;;
88;1965;6;Female;Dinah;Taiwan (Province of China);Asia;No;;;31;89;;;89;;;;;;
89;1965;8;Female;Jean;Japan;Asia;No;;;26;40;;;40;;;;;;
90;1965;8;Female;Mary;Taiwan (Province of China);Asia;No;;;24;77;;;77;;;;;;
91;1965;9;Female;Betsy;United States of America;Americas;No;;;299;;;;;;;;;1420000;13732129
92;1965;9;Female;Betsy;Bahamas;Americas;Yes;;;;;1200;;1200;;;;;700;6769
93;1965;9;Female;Shirley;Japan;Asia;No;;;60;730;;;730;;;;;;
94;1965;9;Female;Agnes;China, Hong Kong Special Administrative Region;Asia;No;;;5;3;;200;203;;;;;;
95;1966;5;Female;Judy;Taiwan (Province of China);Asia;No;;;36;21;5000;;5021;;;;;17322;162610
96;1966;6;Female;Kit;Japan;Asia;No;;;44;80;;;80;;;;;;
97;1966;9;Female;Alice & Cora;Japan;Asia;Yes;;;314;41;13764;;13805;;;;;7900;74161
98;1966;9;Female;Inez;Antigua and Barbuda;Americas;No;;;;;;;;;;;;;
99;1966;9;Female;Inez;Guadeloupe;Americas;Yes;;;25;;10000;;10000;;;;;70000;657123
100;1966;9;Female;Inez;Dominican Republic;Americas;Yes;;;74;442;7000;5500;12942;;;;;5000;46937
101;1966;9;Female;Inez;Haiti;Americas;Yes;;;480;881;67000;;67881;;;;;20000;187749
102;1966;9;Female;Inez;Cuba;Americas;No;;;5;30;156000;18000;174030;;;;;18000;168974
103;1966;10;Female;Inez;Bahamas;Americas;No;;;5;3;;;3;;;;;15500;145506
104;1966;10;Female;Inez;Mexico;Americas;Yes;;;14;69;80000;10000;90069;;;;;24000;225299
105;1966;11;Female;Angela;Solomon Islands;Oceania;No;;;3;;1000;;1000;;;;;;
106;1966;12;Female;Aning;Philippines;Asia;Yes;;;18;;196000;90000;286000;;;;;1000;9387
107;1966;9;Female;Inez;Bahamas;Americas;No;;;;;;;;;;;;;
108;1967;7;Female;Billie;Japan;Asia;No;;;263;395;2610;;3005;;;;;;
109;1967;8;Female;Katrina, Beulah, Fern;Mexico;Americas;Yes;;;77;;271000;;271000;;;;;184000;1680692
110;1967;9;Female;Beulah;Martinique;Americas;No;;;15;;1000;;1000;;;;;;
111;1967;9;Female;Beulah;Saint Lucia;Americas;No;;;;;;;;;;;;3000;27403
112;1967;9;Female;Beulah;Saint Vincent and the Grenadines;Americas;No;;;2;;;;;;;;;4500;41104
113;1967;9;Female;Hurricane Beulah;United States of America;Americas;No;;;15;;;;;;;;;200000;1826840
114;1967;10;Female;Carla;Taiwan (Province of China);Asia;No;;;69;67;100;;167;;;;;;
115;1967;10;Female;Diana;Japan;Asia;No;;;27;34;45;;79;;;;;;
116;1967;11;Female;Emma (Welming);Philippines;Asia;Yes;;;107;;137000;;137000;;;;;26500;242056
117;1967;11;Female;Annie;Solomon Islands;Oceania;No;;;12;;;;;;;;;;
118;1967;12;Female;Carmen, Monica;Mauritius;Africa;Yes;;;;24;20000;3500;23524;;;;;5000;45671
119;1967;8;Female;Kate;China, Hong Kong Special Administrative Region;Asia;No;;;;3;1500;;1503;;;;;;
120;1968;1;Female;Georgette;Madagascar;Africa;Yes;;;29;;65000;10000;75000;;;;;3100;27156
121;1968;1;Female;Brenda;New Caledonia;Oceania;No;;;;;;;;;;;;;
122;1968;8;Female;Shirley;Philippines;Asia;No;;;;;;;;;;;;;
123;1968;8;Female;Shirley;China, Hong Kong Special Administrative Region;Asia;No;;;;4;3000;;3004;;;;;;
124;1968;10;Female;Gladys;Cuba;Americas;No;;;;;;;;;;;;;
125;1968;11;Female;Mamie, Nina, Ora;Philippines;Asia;Yes;;;50;;187330;39313;226643;;;;;9600;84096
126;1968;12;Female;Becky;Solomon Islands;Oceania;No;;;1;;;200;200;;;;;;
127;1968;4;Female;Giselle;New Zealand;Oceania;No;;;50;;1000;;1000;;;;;;
128;1969;2;Female;Colleen;New Caledonia;Oceania;No;;;;;;;;;;;;3000;24919
129;1969;2;Female;Dany;Madagascar;Africa;Yes;;;81;40;40000;3000;43040;;;;;5000;41531
130;1969;7;Female;Viola;Philippines;Asia;No;;;11;;;;;;;;;;
131;1969;8;Female;Camille;United States of America;Americas;No;;249;323;;;;;;;;;1420000;11794904
132;1969;9;Female;Francelia;Honduras;Americas;No;;;;2;8000;;8002;;;;;19000;157819
