Nombre ;Clasificación ;Significado ;Link ;¿Repetido?
Abe;Sin información ;;;Sí 
Aere;Sin información ;;;Sí
Agaton;Sin información ;;;Sí
Aila;Sin información ;;;
Aivu;Misceláneo ;Apellido australiano ;https://forebears.io/surnames/aivu ;
Akune ;Probablemente mujer;Calma;https://en.pon-navi.net/nazuke/name/reading/f/akune  ;
Alibera;Sin información ;;;
Alpha;Griego;;;
Amang;Probablemente hombre;;https://www.ask-oracle.com/baby-name/amang/ ;Sí
Ambo;Sin información ;;;
Ami;Sin información ;;;
Amphan;Probablemente mujer;Cielo;https://www.proz.com/kudoz/thai-to-english/names-personal-company/1788388-names-male-or-female.html;
Auring;Sin información ;;;
Auring;Sin información ;;;
Babs;Sin información ;;;
Basyang;Misceláneo ;Apellido asiático. Diminutivo filipino para virginia;;Sí
Batsira;Sin información ;;;
Bebeng;Misceláneo ;"Slang tagalo para ""baby""";;
Bebinka;Sin información ;;;
Beisja;Sin información ;;;
Belal;Hombre;;https://www.names.org/n/belal/about;
Beni;Sin información ;;;
Beryl;Unisex;;;
Beryl;Mujer;; https://www.eluniversalpuebla.com.mx/estado/la-tormenta-tropical-chris-era-mujer-u-hombre/;
Beta;Griego;;;
Biills;Sin información ;;;
Bijli;Mujer ;"""lightning""";https://www.urdupoint.com/islamic-names/bijli-name-meaning-in-english-104677.html ;
Bingiza;Sin información ;;;
Biparjoy;Misceláneo ;"""Disaster"", Bangladesh";;
Biring;Misceláneo ;Apellido asiático. Diminutivo filipino para virginia;;
Bola;Sin información ;;;
Bolaven;Sin información ;;;
Boloetse;Sin información ;;;
Bondo;Sin información ;;;
Breda;Sin información ;;;
Bulbul;Sin información ;;;
Capella;Probablemente mujer;;https://babynames.com/name/capella;
Cart;Sin información ;;;
Cela;Sin información ;;;
Cempaka;Misceláneo ;Magnolia;https://drlogy.com/baby-names/meaning-of-cempaka ;
Chaba;Mujer ;;https://tpop.fandom.com/wiki/Chaba ;Sí
Chan-home;Sin información ;;;
Chanchu;Misceláneo ;Perla en Macau;https://en.wikipedia.org/wiki/List_of_storms_named_Chanchu;
Chanom;Mujer ;;https://www.ask-oracle.com/baby-name/chanom/ ;
Chanthu;Sin información ;;;
Chantu;Sin información ;;;
Chapala;Sin información ;;;
Chata'an;Sin información ;;;
Chebi;Sin información ;;;
Chedza;Misceláneo ;Luz;https://www.names.org/n/chedza/about ;
Choi-wan;Sin información ;;;
Cimaron;Sin información ;;;
Ciramon;Sin información ;;;
Clovis;Sin información ;;;
Cosme;Sin información ;;;
Cyprien;Sin información ;;;
Daling;Misceláneo ;Apellido filipino;;
Daman ;Probablemente hombre;;https://www.thebump.com/b/daman-baby-name#:~:text=Daman%20is%20a%20masculine%20name,story%20of%20Damon%20and%20Pythias. ;
Damia;Sin información ;;;
Damrey;Misceláneo ;Elefante;;Sí
Danas;Sin información ;;;
Dando;Sin información ;;;
Delta;Griego;;;
Dianmu;Misceláneo ;Diosa china;https://en.wikipedia.org/wiki/Dianmu#:~:text=Dianmu%20(Chinese%3A%20%E9%9B%BB%E6%AF%8D%3B,of%20lightning%20across%20the%20sky.&text=She%20is%20married%20to%20Leigong%2C%20the%20god%20of%20thunder. ;
Dinang ;Sin información ;;;
Dindo;Hombre;;https://en.wiktionary.org/wiki/Dindo ;
Dineo;Sin información ;;;
Dodong / Sarika;;;;Sí 
Doksuri;Misceláneo ;Águila ;;Sí
Dom ;Misceláneo ;Apellido chino ;;
Domoina;Mujer ;;https://www.ask-oracle.com/baby-name/domoina/ ;
Dot;Sin información ;;;
Dujuan;Sin información ;;;Sí
Dumako;Probablemente hombre;;https://www.nameslook.com/dumako ;
Durian;Misceláneo ;Fruta;;Sí
Edeng;Misceláneo ;Apellido en Indonesia;;
Egay;Sin información ;;;
Elang;Misceláneo ;Águila;;
Eliakim;Probablemente hombre;;;
Elita;Sin información ;;;
Ellis ;Sin información ;;;
Emnati;Sin información ;;;
Enawo;Sin información ;;;
Eta ;Griego;;;
Etau;Sin información ;;;Sí
Etau;Sin información ;;;
Ewinar;Misceláneo ;"""Chuuk traditional storm god""";https://www.jma.go.jp/jma/jma-eng/jma-center/rsmc-hp-pub-eg/tyname.html ;Sí
Fame;Probablemente mujer;;;
Fanapi;Misceláneo ;Isla;;
Fari;Sin información ;;;
Faxai;Mujer;;https://www.hko.gov.hk/en/informtc/sound/tc_pronunciation2019e.htm ;
Faye;Mujer ;Fairy, faith;https://angelsname.com/filipino-name/girl/fay ;Sí
Feleng;Sin información ;;;
Feria ;Sin información ;;;
Filao ;Misceláneo ;Árbol ;;
Firinga;Sin información ;;;
Fitow;Misceláneo ;Flor en la isla Yap, Micronesia;;Sí
Fundi;Sin información ;;;
Funso;Hombre;;https://pyneandsmith.com/blogs/news/a-day-in-the-life-of-funso ;
Gaja;Mujer;;;
Galifo;Sin información ;;;
Gamane;Misceláneo ;Apellido común en Chad;;
Gamede;Sin información ;;;
Gamma;Griego;;;
Gamma;Griego;;;
Gari;Probablemente hombre;;) https://www.tagalog.com/dictionary/ditang ;
Gati;Sin información ;;;
Gervaise;Hombre;;https://nameberry.com/b/boy-baby-name-gervaise ;
Gilas;Sin información ;;;
Gombe;Misceláneo ;Apellido africano;;
Goni;Probablemente hombre;;https://namesabout.com/Goni-meaning-411831 ;
Gonu;Sin información ;;;
Goring;Sin información ;;;
Gorky;Sin información ;;;
Guba;Sin información ;;;
Gulab;Unisex;Agua de rosa;;
Gyan;Probablemente hombre;;https://www.thebump.com/b/gyan-baby-name  ;
Hagibis;Misceláneo ;Rápido, tagalo;;Sí
Hagupit;Misceláneo ;"""to lash or flog"", chino";https://en.wikipedia.org/wiki/List_of_storms_named_Hagupit ;
Haikui;Misceláneo ;"""Sea anemone"", chino";;
Haima;Sin información ;;;Sí
Haitang;Sin información ;;;Sí 
Halong;Misceláneo ;"""Descending dragon""";;Sí
Hamoon;Hombre;;;
Haruna;Mujer;Flor;https://en.wikipedia.org/wiki/Haruna_(name) ;
Hary;Probablemente hombre;;;
Hato;Unisex;;;
Heta;Sin información ;;;
Honorinina ;Sin información ;;;
Hudah;Sin información ;;;
Hudhud;Misceláneo ;Arábico, refiere a un pájaro;;
Hunt ;Sin información ;;;
Hyacinthe;Mujer ;;https://www.thebump.com/b/hyacinth-baby-name;
Hygos;Sin información ;;;
Ibiang;Sin información ;;;
Idai;Mujer;;https://www.myupchar.com/en/baby-names/meaning-of-idai ;
Igme;Hombre;;https://namesabout.com/Igme-meaning-233430 ;Sí
Imbudo;Sin información ;;;
In-Fa;Sin información ;;;
Inday;Mujer;;https://www.names.org/n/inday/about ;
Indlala;Sin información ;;;
Ineng;Mujer ;"""Appelation for a young girl""";https://en.wikipedia.org/wiki/List_of_storms_named_Ineng#:~:text=The%20name%20Ineng%20has%20been,appellation%20for%20a%20young%20girl. ;
Iota;Griego;;;
Isang;Unisex;;https://www.ask-oracle.com/baby-name/isang/  ;Sí
Jangmi;Mujer ;;https://en.wikipedia.org/wiki/Jang-mi;
Japhet;Sin información ;;;
